location,metric,count
St. Louis,Mar 18 2023 - Negative,254
St. Louis,Mar 18 2023 - Positive,199
St. Louis,Mar 19 2023,1154
St. Louis,Mar 19 2023 - Neutral,478
St. Louis,Mar 19 2023 - Negative,332
St. Louis,Mar 19 2023 - Positive,242
St. Louis,Mar 20 2023,950
St. Louis,Mar 20 2023 - Neutral,392
St. Louis,Mar 20 2023 - Negative,250
St. Louis,Mar 20 2023 - Positive,228
St. Louis,Mar 21 2023,986
St. Louis,Mar 21 2023 - Neutral,436
St. Louis,Mar 21 2023 - Negative,228
St. Louis,Mar 21 2023 - Positive,254
St. Louis,Mar 22 2023,1083
St. Louis,Mar 22 2023 - Neutral,471
St. Louis,Mar 22 2023 - Negative,274
St. Louis,Mar 22 2023 - Positive,263
St. Louis,Mar 23 2023,1105
St. Louis,Mar 23 2023 - Neutral,477
St. Louis,Mar 23 2023 - Negative,323
St. Louis,Mar 23 2023 - Positive,220
St. Louis,Mar 24 2023,1120
St. Louis,Mar 24 2023 - Neutral,476
St. Louis,Mar 24 2023 - Negative,312
St. Louis,Mar 24 2023 - Positive,269
St. Louis,Mar 25 2023,1045
St. Louis,Mar 25 2023 - Neutral,427
St. Louis,Mar 25 2023 - Negative,295
St. Louis,Mar 25 2023 - Positive,247
St. Louis,Mar 26 2023,1238
St. Louis,Mar 26 2023 - Neutral,494
St. Louis,Mar 26 2023 - Negative,378
St. Louis,Mar 26 2023 - Positive,281
St. Louis,Mar 27 2023,1119
St. Louis,Mar 27 2023 - Neutral,475
St. Louis,Mar 27 2023 - Negative,320
St. Louis,Mar 27 2023 - Positive,245
St. Louis,Mar 28 2023,1097
St. Louis,Mar 28 2023 - Neutral,471
St. Louis,Mar 28 2023 - Negative,310
St. Louis,Mar 28 2023 - Positive,246
St. Louis,Mar 29 2023,1097
St. Louis,Mar 29 2023 - Neutral,498
St. Louis,Mar 29 2023 - Negative,314
St. Louis,Mar 29 2023 - Positive,208
St. Louis,Mar 30 2023,1176
St. Louis,Mar 30 2023 - Neutral,456
St. Louis,Mar 30 2023 - Negative,355
St. Louis,Mar 30 2023 - Positive,286
St. Louis,Mar 31 2023,963
St. Louis,Mar 31 2023 - Neutral,421
St. Louis,Mar 31 2023 - Negative,267
St. Louis,Mar 31 2023 - Positive,198
Carondelet,Total,14
Carondelet,Total - Neutral,3
Carondelet,Total - Negative,2
Carondelet,Total - Positive,9
Carondelet,Feb,6
Carondelet,Feb - Neutral,3
Carondelet,Feb - Negative,2
Carondelet,Feb - Positive,1
Carondelet,Mar,8
Carondelet,Mar - Neutral,0
Carondelet,Mar - Negative,0
Carondelet,Mar - Positive,8
Carondelet,Feb 01 - Feb 07 2023,3
Carondelet,Feb 01 - Feb 07 2023 - Neutral,2
Carondelet,Feb 01 - Feb 07 2023 - Negative,0
Carondelet,Feb 01 - Feb 07 2023 - Positive,1
Carondelet,Feb 08 - Feb 14 2023,0
Carondelet,Feb 08 - Feb 14 2023 - Neutral,0
Carondelet,Feb 08 - Feb 14 2023 - Negative,0
Carondelet,Feb 08 - Feb 14 2023 - Positive,0
Carondelet,Feb 15 - Feb 21 2023,0
Carondelet,Feb 15 - Feb 21 2023 - Neutral,0
Carondelet,Feb 15 - Feb 21 2023 - Negative,0
Carondelet,Feb 15 - Feb 21 2023 - Positive,0
Carondelet,Feb 22 - Feb 28 2023,3
Carondelet,Feb 22 - Feb 28 2023 - Neutral,1
Carondelet,Feb 22 - Feb 28 2023 - Negative,2
Carondelet,Feb 22 - Feb 28 2023 - Positive,0
Carondelet,Mar 01 - Mar 07 2023,4
Carondelet,Mar 01 - Mar 07 2023 - Neutral,0
Carondelet,Mar 01 - Mar 07 2023 - Negative,0
Carondelet,Mar 01 - Mar 07 2023 - Positive,4
Carondelet,Mar 08 - Mar 14 2023,4
Carondelet,Mar 08 - Mar 14 2023 - Neutral,0
Carondelet,Mar 08 - Mar 14 2023 - Negative,0
Carondelet,Mar 08 - Mar 14 2023 - Positive,4
Carondelet,Mar 15 - Mar 21 2023,0
Carondelet,Mar 15 - Mar 21 2023 - Neutral,0
Carondelet,Mar 15 - Mar 21 2023 - Negative,0
Carondelet,Mar 15 - Mar 21 2023 - Positive,0
Carondelet,Mar 22 - Mar 28 2023,0
Carondelet,Mar 22 - Mar 28 2023 - Neutral,0
Carondelet,Mar 22 - Mar 28 2023 - Negative,0
Carondelet,Mar 22 - Mar 28 2023 - Positive,0
Carondelet,Mar 29 - Apr 04 2023,0
Carondelet,Mar 29 - Apr 04 2023 - Neutral,0
Carondelet,Mar 29 - Apr 04 2023 - Negative,0
Carondelet,Mar 29 - Apr 04 2023 - Positive,0
Carondelet,Feb 01 2023,0
Carondelet,Feb 01 2023 - Neutral,0
Carondelet,Feb 01 2023 - Negative,0
Carondelet,Feb 01 2023 - Positive,0
Carondelet,Feb 02 2023,0
Carondelet,Feb 02 2023 - Neutral,0
Carondelet,Feb 02 2023 - Negative,0
Carondelet,Feb 02 2023 - Positive,0
Carondelet,Feb 03 2023,1
Carondelet,Feb 03 2023 - Neutral,1
Carondelet,Feb 03 2023 - Negative,0
Carondelet,Feb 03 2023 - Positive,0
Carondelet,Feb 04 2023,0
Carondelet,Feb 04 2023 - Neutral,0
Carondelet,Feb 04 2023 - Negative,0
Carondelet,Feb 04 2023 - Positive,0
Carondelet,Feb 05 2023,0
Carondelet,Feb 05 2023 - Neutral,0
Carondelet,Feb 05 2023 - Negative,0
Carondelet,Feb 05 2023 - Positive,0
Carondelet,Feb 06 2023,0
Carondelet,Feb 06 2023 - Neutral,0
Carondelet,Feb 06 2023 - Negative,0
Carondelet,Feb 06 2023 - Positive,0
Carondelet,Feb 07 2023,2
Carondelet,Feb 07 2023 - Neutral,1
Carondelet,Feb 07 2023 - Negative,0
Carondelet,Feb 07 2023 - Positive,1
Carondelet,Feb 08 2023,0
Carondelet,Feb 08 2023 - Neutral,0
Carondelet,Feb 08 2023 - Negative,0
Carondelet,Feb 08 2023 - Positive,0
Carondelet,Feb 09 2023,0
Carondelet,Feb 09 2023 - Neutral,0
Carondelet,Feb 09 2023 - Negative,0
Carondelet,Feb 09 2023 - Positive,0
