metric,Carondelet,Central West End,Cherokee Antique Row,Cherokee Street,Chesterfield,Clayton,Downtown St. Louis,Eureka,Forest Park,Grand Center Arts District,Kimmswick,Kirkwood,Laclede's Landing,Lafayette Square,Maplewood,Maryland Heights,North County,Soulard,South Grand,St. Louis,The Delmar Loop,The Grove,The Hill,The Ville,Washington University in St. Louis,Webster Groves
Feb 05 2023 - Negative,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feb 05 2023 - Positive,0,0,0,0,1,0,20,0,0,0,0,0,0,0,1,1,0,0,0,5,0,0,0,0,0,0
Feb 06 2023,0,2,0,0,3,2,95,1,0,0,0,1,0,0,2,1,0,1,0,25,0,0,0,0,0,0
Feb 06 2023 - Neutral,0,2,0,0,3,2,65,0,0,0,0,1,0,0,2,0,0,1,0,18,0,0,0,0,0,0
Feb 06 2023 - Negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Feb 06 2023 - Positive,0,0,0,0,0,0,30,1,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0
Feb 07 2023,1,2,0,2,4,2,98,2,0,0,0,2,0,1,0,1,0,0,0,14,0,0,0,0,0,2
Feb 07 2023 - Neutral,1,1,0,2,3,1,75,1,0,0,0,1,0,1,0,1,0,0,0,9,0,0,0,0,0,2
Feb 07 2023 - Negative,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feb 07 2023 - Positive,0,1,0,0,1,1,21,1,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0
Feb 08 2023,0,1,0,1,5,3,72,0,0,0,0,4,0,0,0,1,0,1,1,18,0,0,0,0,0,0
Feb 08 2023 - Neutral,0,1,0,1,4,3,50,0,0,0,0,3,0,0,0,1,0,1,1,13,0,0,0,0,0,0
Feb 08 2023 - Negative,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feb 08 2023 - Positive,0,0,0,0,1,0,21,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0
Feb 09 2023,0,2,0,1,2,1,50,2,1,0,0,4,0,1,0,2,0,0,0,20,0,0,0,0,0,1
Feb 09 2023 - Neutral,0,1,0,1,1,0,40,1,1,0,0,2,0,1,0,2,0,0,0,13,0,0,0,0,0,1
Feb 09 2023 - Negative,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feb 09 2023 - Positive,0,1,0,0,1,1,9,1,0,0,0,2,0,0,0,0,0,0,0,7,0,0,0,0,0,0
Feb 10 2023,0,1,0,2,1,3,45,0,0,0,0,5,0,1,3,0,0,3,0,11,0,0,0,0,0,1
Feb 10 2023 - Neutral,0,1,0,2,1,1,33,0,0,0,0,3,0,1,2,0,0,3,0,7,0,0,0,0,0,1
Feb 10 2023 - Negative,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feb 10 2023 - Positive,0,0,0,0,0,1,11,0,0,0,0,2,0,0,1,0,0,0,0,4,0,0,0,0,0,0
Feb 11 2023,0,0,0,1,2,0,58,3,1,0,2,2,0,1,3,1,0,1,1,33,0,1,1,0,0,1
Feb 11 2023 - Neutral,0,0,0,1,1,0,46,2,1,0,2,2,0,1,3,0,0,0,1,28,0,1,1,0,0,1
Feb 11 2023 - Negative,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feb 11 2023 - Positive,0,0,0,0,1,0,12,0,0,0,0,0,0,0,0,1,0,1,0,5,0,0,0,0,0,0
Feb 12 2023,0,1,0,2,1,0,74,0,0,0,0,1,0,0,1,0,0,3,1,37,0,0,0,1,0,0
Feb 12 2023 - Neutral,0,1,0,2,0,0,56,0,0,0,0,0,0,0,0,0,0,2,1,26,0,0,0,1,0,0
Feb 12 2023 - Negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feb 12 2023 - Positive,0,0,0,0,1,0,18,0,0,0,0,1,0,0,1,0,0,1,0,11,0,0,0,0,0,0
Feb 13 2023,0,3,0,1,1,0,4,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0
Feb 13 2023 - Neutral,0,3,0,1,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0
Feb 13 2023 - Negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feb 13 2023 - Positive,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feb 14 2023,0,5,0,0,2,0,3,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0
Feb 14 2023 - Neutral,0,5,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0
Feb 14 2023 - Negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feb 14 2023 - Positive,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feb 15 2023,0,4,0,0,2,0,7,0,0,0,0,0,0,0,1,1,0,0,0,7,0,0,0,0,0,0
Feb 15 2023 - Neutral,0,3,0,0,2,0,6,0,0,0,0,0,0,0,1,1,0,0,0,6,0,0,0,0,0,0
Feb 15 2023 - Negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feb 15 2023 - Positive,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Feb 16 2023,0,0,0,1,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
Feb 16 2023 - Neutral,0,0,0,1,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
Feb 16 2023 - Negative,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feb 16 2023 - Positive,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Feb 17 2023,0,2,0,2,0,0,12,1,0,0,0,0,0,0,2,0,0,0,0,11,0,0,0,0,0,0
Feb 17 2023 - Neutral,0,2,0,2,0,0,10,1,0,0,0,0,0,0,2,0,0,0,0,8,0,0,0,0,0,0
Feb 17 2023 - Negative,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feb 17 2023 - Positive,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
Feb 18 2023,0,0,0,1,1,0,15,0,1,0,0,0,0,0,0,0,0,0,0,20,0,0,2,0,0,1
Feb 18 2023 - Neutral,0,0,0,0,1,0,13,0,1,0,0,0,0,0,0,0,0,0,0,16,0,0,1,0,0,1
Feb 18 2023 - Negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
