metric,Carondelet,Central West End,Cherokee Antique Row,Cherokee Street,Chesterfield,Clayton,Downtown St. Louis,Eureka,Forest Park,Grand Center Arts District,Kimmswick,Kirkwood,Laclede's Landing,Lafayette Square,Maplewood,Maryland Heights,North County,Soulard,South Grand,St. Louis,The Delmar Loop,The Grove,The Hill,The Ville,Washington University in St. Louis,Webster Groves
Feb 05 2023 - Neutral,0,1,0,0,39,18,89,2,0,0,0,8,0,0,17,19,1,1,0,390,0,2,2,0,0,5
Feb 05 2023 - Negative,0,0,0,0,24,4,2,1,0,0,0,8,0,0,13,3,1,0,0,288,0,0,0,0,0,0
Feb 05 2023 - Positive,0,0,0,0,14,4,29,1,1,0,0,9,0,1,19,5,3,0,0,244,0,0,0,0,0,3
Feb 06 2023,0,2,0,0,70,29,111,6,0,0,0,23,0,0,104,34,6,1,0,893,0,1,1,0,0,3
Feb 06 2023 - Neutral,0,2,0,0,25,13,74,5,0,0,0,12,0,0,36,17,3,1,0,363,0,1,1,0,0,0
Feb 06 2023 - Negative,0,0,0,0,20,8,1,0,0,0,0,6,0,0,39,6,0,0,0,274,0,0,0,0,0,0
Feb 06 2023 - Positive,0,0,0,0,18,5,34,1,0,0,0,5,0,0,26,8,3,0,0,200,0,0,0,0,0,3
Feb 07 2023,2,2,0,2,71,49,112,11,0,0,0,26,0,1,72,18,5,0,1,1009,0,0,2,1,0,8
Feb 07 2023 - Neutral,1,1,0,2,24,21,81,3,0,0,0,13,0,1,20,6,1,0,1,424,0,0,2,0,0,6
Feb 07 2023 - Negative,0,0,0,0,20,14,2,0,0,0,0,7,0,0,21,3,0,0,0,270,0,0,0,0,0,1
Feb 07 2023 - Positive,1,1,0,0,21,9,25,5,0,0,0,6,0,0,22,7,4,0,0,252,0,0,0,0,0,1
Feb 08 2023,0,1,0,1,95,64,78,5,0,0,0,27,0,0,95,18,2,1,2,973,0,0,0,0,0,2
Feb 08 2023 - Neutral,0,1,0,1,29,29,53,3,0,0,0,9,0,0,31,7,0,1,1,397,0,0,0,0,0,1
Feb 08 2023 - Negative,0,0,0,0,32,12,1,0,0,0,0,9,0,0,24,1,0,0,0,240,0,0,0,0,0,0
Feb 08 2023 - Positive,0,0,0,0,24,15,24,2,0,0,0,9,0,0,33,7,2,0,0,246,0,0,0,0,0,1
Feb 09 2023,0,2,0,1,113,50,63,7,1,0,0,30,0,1,65,38,5,1,0,973,0,0,1,2,0,6
Feb 09 2023 - Neutral,0,1,0,1,35,14,45,3,1,0,0,13,0,1,16,17,2,1,0,402,0,0,0,0,0,2
Feb 09 2023 - Negative,0,0,0,0,29,19,1,0,0,0,0,6,0,0,13,8,0,0,0,261,0,0,0,0,0,1
Feb 09 2023 - Positive,0,1,0,0,42,11,15,2,0,0,0,11,0,0,33,7,3,0,0,223,0,0,1,0,0,3
Feb 10 2023,0,1,0,4,45,57,73,3,0,0,0,10,0,1,45,34,7,3,0,947,0,0,4,0,0,5
Feb 10 2023 - Neutral,0,1,0,3,21,22,44,2,0,0,0,6,0,1,17,17,4,3,0,380,0,0,1,0,0,4
